style_number,style_name,category,fabric,gsm,color,print,season,brand,supplier,cost,selling_price,image_url
WFX-2501,Essential Plum Shorts,Shorts,Cotton Twill,211,Plum,Solid,AW26,Cotton Culture,Phnom Penh Sewing Ltd,457.54,900.19,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/1b9a7610-e6d9-4bb8-ace9-ed4870ae0d5b.jpg
WFX-2502,Cropped Grey Melange Shirt,Shirt,Chambray,131,Grey Melange,Printed,AW25,Loom & Co,Colombo Apparel Group,440.72,945.12,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/2595e7da-f1a4-443b-b91b-79d3464575c1.jpg
WFX-2503,Slim Fit Grey Melange Jacket,Jacket,Denim 12oz,250,Grey Melange,Solid,AW25,Vastra Studio,Guangzhou Weave Co,1368.59,3751.38,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/0d73e759-eeaa-43ab-98d4-196b6974c41e.jpg
WFX-2504,Cropped Blue Polo,Polo,Cotton/Spandex 95/5,226,Blue,Solid,SS25,Vastra Studio,Phnom Penh Sewing Ltd,426.88,1072.43,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/c8070903-1e2b-4526-b7f3-a683ff7f93ee.jpg
WFX-2505,Cropped Charcoal Jeans,Jeans,Denim 14oz,385,Charcoal,Solid,SS25,UrbanThread,Tirupur Garments Co,681.36,1669.07,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/c9b68fc2-019a-4a4e-9709-97f75099b1e6.jpg
WFX-2506,Boxy Charcoal Jacket,Jacket,Polyester Shell,345,Charcoal,Solid,AW26,Kaia Collective,Colombo Apparel Group,792.33,1279.39,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/df6097a1-e252-4d2d-bf7a-2d208f932273.jpg
WFX-2507,Oversized Brown Dress,Dress,Rayon Challis,106,Brown,Solid,AW26,Kaia Collective,Dhaka Knitwear Ltd,488.86,1287.69,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/230ee7f3-a206-4804-9c23-8b5bda052140.jpg
WFX-2508,Oversized Black Jacket,Jacket,Nylon Taslan,258,Black,Printed,AW25,Loom & Co,Colombo Apparel Group,834.28,1898.33,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/3f3f3c92-5af3-4339-a142-4f9f3e099484.jpg
WFX-2509,Vintage Charcoal Polo,Polo,Polyester Pique,218,Charcoal,Solid,AW26,Kaia Collective,Jakarta Garmindo,487.22,911.5,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/adeda6be-071b-4480-a0f2-022ec31692e1.jpg
WFX-2510,Signature Brown Polo,Polo,Polyester Pique,207,Brown,Solid,SS25,Vastra Studio,Phnom Penh Sewing Ltd,341.61,801.15,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/7af2f4bf-faa9-44a2-a37b-af0638d8bd49.jpg
WFX-2511,Oversized Indigo Skirt,Skirt,Polyester Crepe,224,Indigo,Printed,AW25,UrbanThread,Jakarta Garmindo,328.42,620.0,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/f8b84112-9110-4628-91e8-9d22a13767f3.jpg
WFX-2512,Cropped Grey Melange Hoodie,Hoodie,Cotton/Polyester Fleece 80/20,368,Grey Melange,Printed,SS26,Kaia Collective,Shenzhen Fashion Works,717.22,1398.23,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/9fce2963-b204-4865-be6f-99b512b31d39.jpg
WFX-2513,Relaxed Navy Jacket,Jacket,Polyester Shell,287,Navy,Solid,AW26,Loom & Co,Noida Knits Pvt Ltd,1409.05,3311.37,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/2b070f9a-72c6-4475-a2d6-5d473a896f90.jpg
WFX-2514,Slim Fit Black Skirt,Skirt,Viscose,256,Black,Solid,SS26,NorthPeak,ABC Textiles,392.97,695.83,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/97297d04-884f-451b-b75a-717ce3d1442a.jpg
WFX-2515,Tailored Sky Blue T-Shirt,T-Shirt,100% Cotton,199,Sky Blue,Solid,AW26,Kaia Collective,Colombo Apparel Group,322.17,785.99,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/fb3f29fb-ae30-41a5-84cd-c1e3ccad0307.jpg
WFX-2516,Cropped Grey Melange Shirt,Shirt,Chambray,112,Grey Melange,Printed,SS25,Loom & Co,Phnom Penh Sewing Ltd,655.77,1627.25,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/69185160-8563-4705-a642-d3002714163b.jpg
WFX-2517,Heritage Black Shorts,Shorts,French Terry,267,Black,Solid,SS26,UrbanThread,ABC Textiles,508.16,1171.08,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/3fa06126-a2e6-4d26-bd57-ab102ffeca70.jpg
WFX-2518,Athleisure Beige Skirt,Skirt,Denim 10oz,206,Beige,Solid,AW26,Kaia Collective,Tirupur Garments Co,528.03,1425.3,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/125472d8-0f0a-4d45-b531-fb87a9d9d95e.jpg
WFX-2519,Slim Fit Charcoal Trousers,Trousers,Chino Twill,244,Charcoal,Printed,SS26,Everlane East,Dhaka Knitwear Ltd,583.76,1158.92,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/d372b66f-d6b2-43c6-b33f-095a8fd78595.jpg
WFX-2520,Oversized Grey Melange Jeans,Jeans,Denim 14oz,442,Grey Melange,Solid,SS26,NorthPeak,Istanbul Denim House,988.14,2233.31,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/26ee6859-a0f8-42ce-8604-a263882e6d96.jpg
WFX-2521,Heritage Beige Shorts,Shorts,Cotton Twill,258,Beige,Printed,AW26,Everlane East,ABC Textiles,371.25,823.25,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/4e1b78ba-f25e-49f7-b9f9-03c8cefaea66.jpg
WFX-2522,Boxy Off White Shirt,Shirt,Oxford Cotton,143,Off White,Solid,SS25,Vastra Studio,Noida Knits Pvt Ltd,444.71,1115.21,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/4bc3dd22-6229-4593-b978-747e59e372cf.jpg
WFX-2523,Classic Olive T-Shirt,T-Shirt,Cotton/Polyester 60/40,176,Olive,Solid,AW25,Meridian Apparel,Dhaka Knitwear Ltd,259.53,632.71,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/6cb41939-b79a-4fad-b0e1-d760f1b4bc77.jpg
WFX-2524,Boxy Beige Hoodie,Hoodie,French Terry,281,Beige,Solid,SS25,Meridian Apparel,Dhaka Knitwear Ltd,698.51,1195.75,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/9767d117-3c66-4cac-a778-5ee3038ebfc8.jpg
WFX-2525,Boxy Charcoal Skirt,Skirt,Polyester Crepe,205,Charcoal,Solid,AW25,Kaia Collective,Istanbul Denim House,546.89,1147.7,https://raw.githubusercontent.com/alexeygrigorev/clothing-dataset/master/images/53c395a3-94bf-4ad9-be75-3bb3924c2d76.jpg
