invoice_number,sales_order,amount,currency,payment_status
INV-00001,SO-00001,13224.86,GBP,Partially Paid
INV-00002,SO-00002,754140.0,INR,Paid
INV-00003,SO-00003,450280.0,INR,Paid
INV-00004,SO-00005,118179.0,INR,Pending
INV-00005,SO-00006,8436.71,EUR,Paid
INV-00006,SO-00007,43231.43,GBP,Pending
INV-00007,SO-00009,2000270.0,INR,Partially Paid
INV-00008,SO-00010,13350550.0,INR,Pending
INV-00009,SO-00011,137354.82,USD,Paid
INV-00010,SO-00012,1001190.0,INR,Paid
INV-00011,SO-00013,1748010.0,INR,Overdue
INV-00012,SO-00014,10703.0,GBP,Paid
INV-00013,SO-00015,5138050.0,INR,Overdue
INV-00014,SO-00016,51192.78,EUR,Pending
INV-00015,SO-00017,5789.01,USD,Paid
INV-00016,SO-00018,6411450.0,INR,Pending
INV-00017,SO-00019,77831.33,USD,Partially Paid
INV-00018,SO-00020,962720.0,INR,Pending
INV-00019,SO-00021,737610.0,INR,Partially Paid
INV-00020,SO-00023,2891250.0,INR,Paid
INV-00021,SO-00024,34823.62,GBP,Paid
INV-00022,SO-00025,2602.63,USD,Pending
INV-00023,SO-00026,548765.0,INR,Paid
INV-00024,SO-00028,55656.51,USD,Paid
INV-00025,SO-00029,3662.42,USD,Paid
INV-00026,SO-00030,6421.83,EUR,Paid
INV-00027,SO-00031,6405.9,USD,Pending
INV-00028,SO-00033,1647840.0,INR,Paid
INV-00029,SO-00034,5268.67,EUR,Pending
INV-00030,SO-00036,9667.78,EUR,Paid
INV-00031,SO-00037,19573.52,GBP,Paid
INV-00032,SO-00038,5340220.0,INR,Pending
INV-00033,SO-00039,3039430.0,INR,Paid
INV-00034,SO-00040,44261.33,EUR,Partially Paid
INV-00035,SO-00042,4483.22,EUR,Paid
INV-00036,SO-00043,12420.66,USD,Paid
INV-00037,SO-00046,20911.08,USD,Paid
INV-00038,SO-00047,4379310.0,INR,Overdue
INV-00039,SO-00048,1335055.0,INR,Overdue
INV-00040,SO-00050,4564.57,GBP,Paid
INV-00041,SO-00051,52288.92,USD,Pending
INV-00042,SO-00052,1216380.0,INR,Pending
INV-00043,SO-00053,463323.0,INR,Paid
INV-00044,SO-00057,12618.92,USD,Paid
INV-00045,SO-00058,50067.47,USD,Pending
INV-00046,SO-00059,210030.0,INR,Paid
INV-00047,SO-00061,96502.41,USD,Paid
INV-00048,SO-00062,1172280.0,INR,Pending
INV-00049,SO-00063,1693850.0,INR,Paid
INV-00050,SO-00065,401475.0,INR,Paid
INV-00051,SO-00066,1415515.0,INR,Paid
INV-00052,SO-00067,235473.0,INR,Pending
INV-00053,SO-00068,2051070.0,INR,Paid
INV-00054,SO-00069,5805.84,USD,Paid
INV-00055,SO-00070,604870.0,INR,Pending
INV-00056,SO-00071,47530.72,USD,Partially Paid
INV-00057,SO-00073,2985520.0,INR,Paid
INV-00058,SO-00074,1217140.0,INR,Paid
INV-00059,SO-00075,20147450.0,INR,Overdue
INV-00060,SO-00077,4274300.0,INR,Pending
INV-00061,SO-00078,90664.46,USD,Paid
INV-00062,SO-00080,54756.51,USD,Paid
INV-00063,SO-00081,23105.06,USD,Overdue
INV-00064,SO-00082,268353.0,INR,Paid
INV-00065,SO-00083,2871870.0,INR,Partially Paid
INV-00066,SO-00084,35203.61,USD,Paid
INV-00067,SO-00085,2548395.0,INR,Overdue
INV-00068,SO-00086,1903580.0,INR,Pending
INV-00069,SO-00087,303465.0,INR,Paid
INV-00070,SO-00088,1950780.0,INR,Pending
INV-00071,SO-00089,26660.78,USD,Paid
INV-00072,SO-00090,26761.69,USD,Paid
INV-00073,SO-00091,1046580.0,INR,Paid
INV-00074,SO-00092,803715.0,INR,Paid
INV-00075,SO-00094,2016.23,EUR,Paid
INV-00076,SO-00095,24013.57,GBP,Paid
INV-00077,SO-00097,6350000.0,INR,Pending
INV-00078,SO-00100,1177365.0,INR,Paid
INV-00079,SO-00101,20345.87,EUR,Partially Paid
INV-00080,SO-00102,38915.66,USD,Paid
INV-00081,SO-00103,57668.07,USD,Pending
INV-00082,SO-00104,11615.54,USD,Pending
INV-00083,SO-00105,405006.0,INR,Overdue
INV-00084,SO-00107,33656.67,EUR,Paid
INV-00085,SO-00108,21854.46,USD,Paid
INV-00086,SO-00109,1552290.0,INR,Paid
INV-00087,SO-00110,3099240.0,INR,Paid
INV-00088,SO-00111,9868.43,USD,Paid
INV-00089,SO-00112,504520.0,INR,Paid
INV-00090,SO-00114,4041460.0,INR,Paid
INV-00091,SO-00115,203109.0,INR,Pending
INV-00092,SO-00117,11387730.0,INR,Pending
INV-00093,SO-00119,4200500.0,INR,Paid
INV-00094,SO-00120,13043.49,USD,Paid
INV-00095,SO-00121,3164040.0,INR,Pending
INV-00096,SO-00122,42175.24,GBP,Overdue
INV-00097,SO-00123,13996.38,GBP,Partially Paid
INV-00098,SO-00124,7003100.0,INR,Paid
INV-00099,SO-00125,2251300.0,INR,Paid
INV-00100,SO-00126,2384330.0,INR,Overdue
INV-00101,SO-00127,796384.0,INR,Pending
INV-00102,SO-00128,5686.14,USD,Paid
INV-00103,SO-00129,14315300.0,INR,Partially Paid
INV-00104,SO-00130,116043.37,USD,Pending
INV-00105,SO-00131,130221.11,EUR,Partially Paid
INV-00106,SO-00133,38337.67,EUR,Paid
INV-00107,SO-00134,2288910.0,INR,Paid
INV-00108,SO-00136,2781300.0,INR,Overdue
INV-00109,SO-00137,1645860.0,INR,Paid
INV-00110,SO-00138,749936.0,INR,Partially Paid
INV-00111,SO-00139,439840.0,INR,Paid
INV-00112,SO-00140,1602000.0,INR,Paid
INV-00113,SO-00141,134307.78,EUR,Paid
INV-00114,SO-00142,2050110.0,INR,Paid
INV-00115,SO-00143,23690.24,USD,Overdue
INV-00116,SO-00144,8371.86,USD,Pending
INV-00117,SO-00145,13773.43,USD,Paid
INV-00118,SO-00146,35885.3,USD,Paid
INV-00119,SO-00147,4875400.0,INR,Pending
INV-00120,SO-00148,6660.06,USD,Pending
INV-00121,SO-00149,12331.87,USD,Partially Paid
INV-00122,SO-00150,6140.71,USD,Paid
INV-00123,SO-00151,833590.0,INR,Paid
INV-00124,SO-00152,1337430.0,INR,Paid
INV-00125,SO-00153,160663.86,USD,Paid
INV-00126,SO-00157,4107.89,USD,Partially Paid
INV-00127,SO-00158,166671.69,USD,Paid
INV-00128,SO-00159,35228.92,USD,Paid
INV-00129,SO-00160,40480.48,USD,Paid
INV-00130,SO-00161,504285.0,INR,Pending
INV-00131,SO-00162,8785.54,USD,Overdue
INV-00132,SO-00163,20275.67,EUR,Paid
