order_number,buyer,style_number,quantity,unit_price,shipment_date,status
SO-00001,Thames & Co,WFX-3156,1500,925.74,2025-01-07,Shipped
SO-00002,Iberia Moda SL,WFX-3325,1000,754.14,2025-01-01,Confirmed
SO-00003,Lion City Apparel,WFX-2657,500,900.56,2025-09-11,Shipped
SO-00004,Maple Leaf Fashion,WFX-2710,5000,910.01,2026-06-02,Confirmed
SO-00005,Outback Outfitters,WFX-2955,300,393.93,2025-11-04,Delivered
SO-00006,Iberia Moda SL,WFX-2915,800,949.13,2026-07-14,Delivered
SO-00007,Lion City Apparel,WFX-2767,5000,907.86,2026-09-24,Delivered
SO-00008,Outback Outfitters,WFX-2627,800,1828.32,2025-07-09,Shipped
SO-00009,Alpine Casuals SA,WFX-2646,1000,2000.27,2026-12-18,In Production
SO-00010,Bayside Brands,WFX-3060,5000,2670.11,2025-10-24,Shipped
SO-00011,Maple Leaf Fashion,WFX-3184,5000,2280.09,2025-10-09,In Production
SO-00012,Outback Outfitters,WFX-2901,500,2002.38,2026-03-12,Shipped
SO-00013,Nordic Retail AB,WFX-2652,1500,1165.34,2026-08-01,Shipped
SO-00014,Nordic Retail AB,WFX-2899,1500,749.21,2026-10-29,Confirmed
SO-00015,Prairie Wholesale Inc,WFX-3415,5000,1027.61,2025-12-30,Confirmed
SO-00016,Thames & Co,WFX-3486,5000,921.47,2026-04-15,Delivered
SO-00017,Nordic Retail AB,WFX-2784,800,600.61,2026-05-31,In Production
SO-00018,Sakura Style KK,WFX-2716,3000,2137.15,2025-06-28,Shipped
SO-00019,Thames & Co,WFX-3172,2000,3230.0,2026-07-31,Delivered
SO-00020,Iberia Moda SL,WFX-2848,800,1203.4,2026-11-06,In Production
SO-00021,Outback Outfitters,WFX-2811,500,1475.22,2026-10-23,Delivered
SO-00022,Outback Outfitters,WFX-2996,5000,1642.82,2025-07-04,Shipped
SO-00023,Alpine Casuals SA,WFX-3090,1500,1927.5,2025-11-28,Confirmed
SO-00024,Lion City Apparel,WFX-3103,2000,1828.24,2026-02-18,Shipped
SO-00025,Nordic Retail AB,WFX-2570,300,720.06,2025-06-12,Delivered
SO-00026,Maple Leaf Fashion,WFX-2738,500,1097.53,2026-11-27,Shipped
SO-00027,Sakura Style KK,WFX-2988,1000,735.8,2025-08-31,Cancelled
SO-00028,Thames & Co,WFX-2608,3000,1539.83,2026-03-07,Delivered
SO-00029,Maple Leaf Fashion,WFX-3445,300,1013.27,2025-04-28,Shipped
SO-00030,Alpine Casuals SA,WFX-2539,500,1155.93,2026-01-19,Shipped
SO-00031,Prairie Wholesale Inc,WFX-3122,300,1772.3,2025-11-25,Delivered
SO-00032,Alpine Casuals SA,WFX-2611,5000,848.87,2026-10-15,In Production
SO-00033,Gulf Fashion Trading,WFX-3088,1000,1647.84,2026-05-18,In Production
SO-00034,Prairie Wholesale Inc,WFX-2949,1500,316.12,2025-06-15,In Production
