tech_pack_id,style_number,fabric_details,construction,wash_instructions
TP-WFX-2501,WFX-2501,"Cotton Twill, 211 GSM, Plum, Solid",Twill Weave 3/1,Dry clean only
TP-WFX-2502,WFX-2502,"Chambray, 131 GSM, Grey Melange, Printed",Fleece Brushed,Dry clean only
TP-WFX-2503,WFX-2503,"Denim 12oz, 250 GSM, Grey Melange, Solid",Pique Knit,"Machine wash cold inside out, do not iron print"
TP-WFX-2504,WFX-2504,"Cotton/Spandex 95/5, 226 GSM, Blue, Solid",Pique Knit,"Hand wash only, dry flat in shade"
TP-WFX-2505,WFX-2505,"Denim 14oz, 385 GSM, Charcoal, Solid",Satin Weave,"Machine wash cold inside out, do not iron print"
TP-WFX-2506,WFX-2506,"Polyester Shell, 345 GSM, Charcoal, Solid",Single Jersey,Dry clean only
TP-WFX-2507,WFX-2507,"Rayon Challis, 106 GSM, Brown, Solid",2x2 Rib,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2508,WFX-2508,"Nylon Taslan, 258 GSM, Black, Printed",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2509,WFX-2509,"Polyester Pique, 218 GSM, Charcoal, Solid",Fleece Brushed,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2510,WFX-2510,"Polyester Pique, 207 GSM, Brown, Solid",Fleece Brushed,"Machine wash cold inside out, do not iron print"
TP-WFX-2511,WFX-2511,"Polyester Crepe, 224 GSM, Indigo, Printed",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2512,WFX-2512,"Cotton/Polyester Fleece 80/20, 368 GSM, Grey Melange, Printed",Interlock,"Hand wash only, dry flat in shade"
TP-WFX-2513,WFX-2513,"Polyester Shell, 287 GSM, Navy, Solid",Twill Weave 3/1,"Hand wash only, dry flat in shade"
TP-WFX-2514,WFX-2514,"Viscose, 256 GSM, Black, Solid",Pique Knit,"Machine wash warm with like colors, line dry"
TP-WFX-2515,WFX-2515,"100% Cotton, 199 GSM, Sky Blue, Solid",Plain Weave,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2516,WFX-2516,"Chambray, 112 GSM, Grey Melange, Printed",Interlock,"Machine wash cold inside out, do not iron print"
TP-WFX-2517,WFX-2517,"French Terry, 267 GSM, Black, Solid",2x2 Rib,"Machine wash cold inside out, do not iron print"
TP-WFX-2518,WFX-2518,"Denim 10oz, 206 GSM, Beige, Solid",Interlock,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2519,WFX-2519,"Chino Twill, 244 GSM, Charcoal, Printed",Pique Knit,Dry clean only
TP-WFX-2520,WFX-2520,"Denim 14oz, 442 GSM, Grey Melange, Solid",Plain Weave,Dry clean only
TP-WFX-2521,WFX-2521,"Cotton Twill, 258 GSM, Beige, Printed",French Terry Loopback,"Machine wash cold, tumble dry low, do not bleach"
TP-WFX-2522,WFX-2522,"Oxford Cotton, 143 GSM, Off White, Solid",Fleece Brushed,"Hand wash only, dry flat in shade"
